DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2421,"Bharuch",242103,"Bharuch","2421030002","Bholav",24210300981,"Taraben M.Mahila Vidhyalaya","20.4 %","null %","null %","null %","19.8 %","18.0 %","23.5 %",61
2421,"Bharuch",242103,"Bharuch","2421030002","Bholav",24210300934,"Stn.Road P.S. No- 1","24.3 %","null %","null %","null %","26.3 %","21.9 %","24.0 %",58
2421,"Bharuch",242103,"Bharuch","2421030002","Bholav",24210300996,"Kashak Soci.Banch Misra-2","30.9 %","null %","null %","null %","27.6 %","33.9 %","31.5 %",81
2421,"Bharuch",242103,"Bharuch","2421030002","Bholav",24210300907,"Navadera Misra-58","33.0 %","54.8 %","53.1 %","57.7 %","21.9 %","27.0 %","29.6 %",110
2421,"Bharuch",242103,"Bharuch","2421030002","Bholav",24210300939,"Dandia Bazar P.S.","38.0 %","44.4 %","null %","47.8 %","35.1 %","32.5 %","40.0 %",143
2421,"Bharuch",242103,"Bharuch","2421030002","Bholav",24210300957,"Station Misra Branch-No-1","65.5 %","77.8 %","66.0 %","59.6 %","null %","null %","null %",55
2421,"Bharuch",242103,"Bharuch","2421030002","Bholav",24210300937,"Kasak Soc. Main P.S. No- 38","65.8 %","61.3 %","68.1 %","65.7 %","null %","null %","null %",79
