DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120005","Asarwa -1",24071203918,"Baherampura Urdu-1","31.9 %","null %","null %","23.6 %","21.6 %","25.6 %","50.0 %",74
2407,"Ahmedabad",240712,"Amc","2407120005","Asarwa -1",24071200617,"Jamalpur Urdu  - 8","52.5 %","71.6 %","72.8 %","73.7 %","43.2 %","46.7 %","43.4 %",101
2407,"Ahmedabad",240712,"Amc","2407120005","Asarwa -1",24071200611,"Jamalpur Urdu  - 1","53.0 %","66.2 %","64.3 %","56.3 %","58.6 %","45.1 %","50.1 %",203
2407,"Ahmedabad",240712,"Amc","2407120005","Asarwa -1",24071203920,"Baherampura Urdu-5","53.4 %","null %","null %","null %","46.8 %","54.1 %","57.9 %",212
2407,"Ahmedabad",240712,"Amc","2407120005","Asarwa -1",24071200623,"Jamalpur Urdu  - 14","53.9 %","null %","52.4 %","82.4 %","46.8 %","55.1 %","52.3 %",39
2407,"Ahmedabad",240712,"Amc","2407120005","Asarwa -1",24071200616,"Jamalpur Urdu  - 6","54.5 %","null %","null %","56.9 %","63.7 %","49.9 %","52.7 %",99
2407,"Ahmedabad",240712,"Amc","2407120005","Asarwa -1",24071200515,"Raikhad U.6","55.7 %","60.2 %","59.9 %","53.4 %","56.5 %","55.9 %","53.4 %",229
2407,"Ahmedabad",240712,"Amc","2407120005","Asarwa -1",24071200614,"Jamalpur Urdu  - 4","59.4 %","72.4 %","73.0 %","73.1 %","57.0 %","52.1 %","60.3 %",182
2407,"Ahmedabad",240712,"Amc","2407120005","Asarwa -1",24071203921,"Baherampura Urdu-6","63.0 %","61.6 %","64.3 %","62.3 %","null %","null %","null %",175
