DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120041","Naranpura",24071204201,"Jasodanagar Gujarati-1","34.4 %","null %","null %","null %","32.5 %","32.9 %","37.8 %",384
2407,"Ahmedabad",240712,"Amc","2407120041","Naranpura",24071204204,"Hathijan Gujarati S.N.2","36.8 %","null %","59.8 %","28.6 %","31.6 %","34.7 %","37.9 %",345
2407,"Ahmedabad",240712,"Amc","2407120041","Naranpura",24071204203,"Viveka Nagargujarti-1","42.6 %","69.8 %","null %","47.5 %","36.6 %","44.8 %","41.4 %",212
2407,"Ahmedabad",240712,"Amc","2407120041","Naranpura",24071204206,"Vinobabhave-1","44.1 %","80.0 %","68.1 %","38.4 %","40.1 %","38.1 %","42.2 %",306
2407,"Ahmedabad",240712,"Amc","2407120041","Naranpura",24071204205,"Vinzol-2","45.4 %","64.6 %","57.9 %","50.3 %","34.2 %","41.7 %","51.0 %",532
2407,"Ahmedabad",240712,"Amc","2407120041","Naranpura",24071204202,"Jasodanagar Gujarti-2","60.7 %","71.5 %","65.7 %","49.1 %","null %","null %","null %",340
2407,"Ahmedabad",240712,"Amc","2407120041","Naranpura",24071204207,"Vinobabhave M.2","61.8 %","69.8 %","71.8 %","73.6 %","51.3 %","55.7 %","60.6 %",74
