DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120034","Khadiya",24071203508,"Odhav Hindi 1","49.0 %","69.6 %","51.0 %","46.1 %","49.5 %","49.5 %","43.2 %",613
2407,"Ahmedabad",240712,"Amc","2407120034","Khadiya",24071203516,"Karshannagar Hindi Sch 1","51.9 %","75.3 %","55.0 %","67.6 %","46.8 %","45.9 %","49.6 %",523
2407,"Ahmedabad",240712,"Amc","2407120034","Khadiya",24071203403,"Purushotttam. Nagar Hindi - 1","52.2 %","59.9 %","62.2 %","39.4 %","57.1 %","48.3 %","51.9 %",282
2407,"Ahmedabad",240712,"Amc","2407120034","Khadiya",24071203531,"Odhav Hindi-3","54.3 %","74.7 %","61.0 %","59.7 %","48.3 %","52.7 %","53.8 %",593
2407,"Ahmedabad",240712,"Amc","2407120034","Khadiya",24071203510,"Ambika Hindi School No - 1","59.4 %","76.9 %","60.7 %","53.6 %","54.9 %","57.2 %","64.9 %",162
2407,"Ahmedabad",240712,"Amc","2407120034","Khadiya",24071203509,"G.I.D.C. Hindi School No - 1","60.5 %","70.0 %","76.1 %","67.3 %","57.1 %","59.2 %","54.2 %",572
