DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120019","Ellisbridge 2",24071201903,"Asarwa - 4","32.2 %","null %","null %","null %","28.9 %","28.4 %","37.4 %",147
2407,"Ahmedabad",240712,"Amc","2407120019","Ellisbridge 2",24071201938,"Asarwa Pri School-3","34.4 %","null %","null %","null %","32.2 %","34.4 %","35.8 %",180
2407,"Ahmedabad",240712,"Amc","2407120019","Ellisbridge 2",24071201913,"Asarwa - 18","37.7 %","61.4 %","57.7 %","37.8 %","29.9 %","34.8 %","39.6 %",118
2407,"Ahmedabad",240712,"Amc","2407120019","Ellisbridge 2",24071201937,"Asarwa Pri School-6","42.6 %","67.2 %","14.6 %","59.9 %","null %","null %","null %",124
2407,"Ahmedabad",240712,"Amc","2407120019","Ellisbridge 2",24071201908,"Asarwa - 11","43.0 %","null %","null %","null %","37.4 %","44.1 %","47.5 %",486
2407,"Ahmedabad",240712,"Amc","2407120019","Ellisbridge 2",24071201973,"Asarwa Gujrati School No 23","44.1 %","null %","null %","null %","40.1 %","43.5 %","48.0 %",256
2407,"Ahmedabad",240712,"Amc","2407120019","Ellisbridge 2",24071201909,"Asarwa - 12","44.1 %","59.2 %","44.5 %","35.6 %","null %","null %","null %",342
2407,"Ahmedabad",240712,"Amc","2407120019","Ellisbridge 2",24071201901,"Asarwa - 2","53.0 %","56.4 %","56.9 %","47.4 %","null %","null %","null %",126
2407,"Ahmedabad",240712,"Amc","2407120019","Ellisbridge 2",24071201915,"Asarwa - 20","55.9 %","40.5 %","60.4 %","60.4 %","null %","null %","null %",172
