DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120017","Dudheshvar",24071201717,"Shahibaug Urdu - 1","40.1 %","43.1 %","44.5 %","35.7 %","45.0 %","35.2 %","38.0 %",318
2407,"Ahmedabad",240712,"Amc","2407120017","Dudheshvar",24071200415,"Shahpur-U-1-","44.4 %","55.9 %","61.2 %","56.3 %","40.7 %","46.1 %","33.9 %",156
2407,"Ahmedabad",240712,"Amc","2407120017","Dudheshvar",24071200316,"Shahpur U-4","47.8 %","63.9 %","66.1 %","53.5 %","38.9 %","44.1 %","52.8 %",175
2407,"Ahmedabad",240712,"Amc","2407120017","Dudheshvar",24071200418,"Shahpur-U-10-","50.4 %","23.1 %","17.5 %","65.8 %","48.9 %","60.4 %","53.5 %",84
2407,"Ahmedabad",240712,"Amc","2407120017","Dudheshvar",24071200317,"Shahpur U-5","50.4 %","null %","null %","null %","49.1 %","50.2 %","52.2 %",180
2407,"Ahmedabad",240712,"Amc","2407120017","Dudheshvar",24071201508,"Dudheshwar - Urdu - 1","60.8 %","66.5 %","70.2 %","72.0 %","58.2 %","57.9 %","58.6 %",145
2407,"Ahmedabad",240712,"Amc","2407120017","Dudheshvar",24071200318,"Shahpur U-6","70.4 %","71.5 %","68.5 %","72.5 %","null %","null %","null %",132
