DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120012","Behrampura-2",24071201001,"Elisbridge - 4","32.2 %","51.6 %","43.3 %","45.9 %","26.3 %","27.7 %","28.3 %",69
2407,"Ahmedabad",240712,"Amc","2407120012","Behrampura-2",24071201101,"Naranpura Guj - 4","33.5 %","68.4 %","75.0 %","40.2 %","21.0 %","26.2 %","29.7 %",155
2407,"Ahmedabad",240712,"Amc","2407120012","Behrampura-2",24071201201,"Naranpura - 1","40.6 %","null %","null %","null %","36.9 %","40.8 %","43.2 %",204
2407,"Ahmedabad",240712,"Amc","2407120012","Behrampura-2",24071201203,"Naranpura - 6","42.7 %","58.4 %","67.1 %","45.3 %","37.6 %","36.4 %","41.7 %",189
2407,"Ahmedabad",240712,"Amc","2407120012","Behrampura-2",24071200701,"Elisbridge - 2","49.1 %","66.4 %","65.0 %","52.0 %","46.5 %","53.3 %","41.6 %",74
2407,"Ahmedabad",240712,"Amc","2407120012","Behrampura-2",24071200704,"Elisbridge -14","49.2 %","58.9 %","58.6 %","46.1 %","40.3 %","44.4 %","54.8 %",130
2407,"Ahmedabad",240712,"Amc","2407120012","Behrampura-2",24071201004,"Elisbridge - 10","52.0 %","83.5 %","71.7 %","59.6 %","44.5 %","44.6 %","50.9 %",132
2407,"Ahmedabad",240712,"Amc","2407120012","Behrampura-2",24071200702,"Elisbridge - 6","54.7 %","73.9 %","73.6 %","52.3 %","51.5 %","53.9 %","50.9 %",113
2407,"Ahmedabad",240712,"Amc","2407120012","Behrampura-2",24071201202,"Naranpura - 2","59.5 %","66.5 %","67.8 %","47.9 %","null %","null %","null %",197
