DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120002","Amraiwadi Hindi",24071203001,"Gomtipur - 2","32.7 %","66.8 %","71.7 %","47.2 %","26.4 %","21.5 %","21.9 %",143
2407,"Ahmedabad",240712,"Amc","2407120002","Amraiwadi Hindi",24071203002,"Gomtipur - 4","37.6 %","49.3 %","66.1 %","33.3 %","33.9 %","28.9 %","40.3 %",249
2407,"Ahmedabad",240712,"Amc","2407120002","Amraiwadi Hindi",24071200206,"Kalupur-19","40.0 %","66.4 %","49.8 %","58.6 %","37.1 %","35.4 %","42.5 %",53
2407,"Ahmedabad",240712,"Amc","2407120002","Amraiwadi Hindi",24071200213,"Kalupur-17","40.4 %","47.1 %","56.2 %","38.2 %","33.8 %","44.1 %","37.2 %",130
2407,"Ahmedabad",240712,"Amc","2407120002","Amraiwadi Hindi",24071200207,"Kalupur-22","41.2 %","68.1 %","71.5 %","56.8 %","34.7 %","39.9 %","41.6 %",42
2407,"Ahmedabad",240712,"Amc","2407120002","Amraiwadi Hindi",24071203004,"Gomtipur - 6","43.7 %","null %","63.0 %","54.3 %","40.7 %","40.1 %","38.5 %",188
2407,"Ahmedabad",240712,"Amc","2407120002","Amraiwadi Hindi",24071200202,"Kalupur-6","65.8 %","72.2 %","71.0 %","60.3 %","null %","null %","null %",9
