DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120025","Ishanpur",24071204008,"Danlimda Urdu-1","37.1 %","null %","null %","null %","30.4 %","43.7 %","32.0 %",95
2407,"Ahmedabad",240712,"Amc","2407120025","Ishanpur",24071204006,"Millatnagar Urdu-1","42.2 %","null %","null %","null %","33.5 %","41.9 %","50.1 %",469
2407,"Ahmedabad",240712,"Amc","2407120025","Ishanpur",24071204013,"Chandola Urdu Sch 1","47.0 %","null %","null %","null %","40.5 %","49.0 %","52.1 %",468
2407,"Ahmedabad",240712,"Amc","2407120025","Ishanpur",24071204031,"Danilimda Urdu Sch 3","54.3 %","null %","null %","null %","50.8 %","50.5 %","60.7 %",107
2407,"Ahmedabad",240712,"Amc","2407120025","Ishanpur",24071204309,"Vatava Urdu-2","55.4 %","72.4 %","74.1 %","65.2 %","36.7 %","63.8 %","58.0 %",420
2407,"Ahmedabad",240712,"Amc","2407120025","Ishanpur",24071204007,"Millatnagar Urdu-2","63.0 %","68.9 %","69.3 %","53.7 %","null %","null %","null %",618
2407,"Ahmedabad",240712,"Amc","2407120025","Ishanpur",24071204009,"Danlimda Urdu-2","69.1 %","64.1 %","70.9 %","69.7 %","null %","null %","null %",109
2407,"Ahmedabad",240712,"Amc","2407120025","Ishanpur",24071204032,"Danilimda Urdu Sch 4","69.4 %","73.1 %","66.3 %","70.0 %","null %","null %","null %",84
2407,"Ahmedabad",240712,"Amc","2407120025","Ishanpur",24071204016,"Chandola Urdu Sch 2","78.3 %","77.0 %","80.1 %","77.5 %","null %","null %","null %",651
