DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240705,"City","2407050005","Gyaspur",24070500411,"Jodhpur Primary School - 2","31.7 %","65.1 %","47.8 %","33.8 %","29.1 %","28.4 %","29.1 %",236
2407,"Ahmedabad",240705,"City","2407050005","Gyaspur",24070500412,"Ramdevnagar Primary School","33.6 %","45.9 %","49.9 %","23.8 %","29.5 %","32.1 %","35.1 %",318
2407,"Ahmedabad",240705,"City","2407050005","Gyaspur",24070500410,"Jodhpur Primary School - 1","40.3 %","53.9 %","58.6 %","35.4 %","32.0 %","40.2 %","43.4 %",361
2407,"Ahmedabad",240705,"City","2407050005","Gyaspur",24070501630,"Vastrapur Railway Station","46.5 %","72.9 %","58.5 %","47.8 %","39.3 %","55.4 %","36.5 %",243
