DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120037","Kubernagar Hindi",24071204383,"Kumari Hina Vora Pri. School","26.1 %","45.9 %","56.7 %","35.6 %","17.3 %","18.1 %","24.3 %",452
2407,"Ahmedabad",240712,"Amc","2407120037","Kubernagar Hindi",24071203739,"Millatnagar Guj - 1","35.6 %","null %","null %","null %","35.4 %","33.5 %","37.5 %",387
2407,"Ahmedabad",240712,"Amc","2407120037","Kubernagar Hindi",24071203705,"Maninagar - 6","42.9 %","70.0 %","59.0 %","40.7 %","29.2 %","42.6 %","48.0 %",146
2407,"Ahmedabad",240712,"Amc","2407120037","Kubernagar Hindi",24071204101,"Bagephirdosh-1","49.7 %","null %","68.8 %","43.6 %","48.2 %","43.0 %","53.2 %",233
2407,"Ahmedabad",240712,"Amc","2407120037","Kubernagar Hindi",24071203701,"Maninagar - 1","50.2 %","73.2 %","65.1 %","50.8 %","46.1 %","47.0 %","49.3 %",250
2407,"Ahmedabad",240712,"Amc","2407120037","Kubernagar Hindi",24071203708,"Millatnagar - 2","51.0 %","63.4 %","55.8 %","39.2 %","null %","null %","null %",298
2407,"Ahmedabad",240712,"Amc","2407120037","Kubernagar Hindi",24071204104,"Ghodasar-2","59.4 %","68.0 %","61.4 %","49.0 %","null %","null %","null %",48
