DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120006","Asarwa Hindi",24071200601,"Jamalpur Primary School - 4","35.1 %","77.8 %","56.0 %","71.5 %","31.7 %","29.0 %","42.5 %",88
2407,"Ahmedabad",240712,"Amc","2407120006","Asarwa Hindi",24071200632,"Jamalpur Guj School - 9","36.7 %","78.3 %","65.1 %","56.0 %","29.6 %","29.2 %","31.0 %",155
2407,"Ahmedabad",240712,"Amc","2407120006","Asarwa Hindi",24071200602,"Jamalpur Primary School - 7","46.9 %","null %","null %","null %","43.2 %","42.9 %","51.9 %",67
2407,"Ahmedabad",240712,"Amc","2407120006","Asarwa Hindi",24071200113,"Jamalpur-24","47.4 %","45.4 %","48.4 %","47.5 %","null %","null %","null %",49
2407,"Ahmedabad",240712,"Amc","2407120006","Asarwa Hindi",24071200608,"Jamalpur Primary School - 16","52.9 %","67.2 %","73.5 %","65.2 %","45.4 %","49.3 %","51.8 %",93
2407,"Ahmedabad",240712,"Amc","2407120006","Asarwa Hindi",24071200633,"Jamalpur Guj School - 11","57.0 %","66.7 %","68.4 %","63.6 %","51.5 %","58.5 %","52.5 %",89
2407,"Ahmedabad",240712,"Amc","2407120006","Asarwa Hindi",24071200609,"Jamalpur Primary School - 18","60.3 %","64.6 %","66.1 %","50.6 %","null %","null %","null %",49
2407,"Ahmedabad",240712,"Amc","2407120006","Asarwa Hindi",24071200603,"Jamalpur Primary School - 8","61.9 %","67.7 %","65.7 %","59.0 %","null %","null %","null %",42
