DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120043","Naranpura 2",24071204029,"Chandola Guj Sch 1","35.6 %","null %","null %","null %","30.6 %","33.5 %","43.0 %",470
2407,"Ahmedabad",240712,"Amc","2407120043","Naranpura 2",24071204339,"Narol Guj Sch No. 1","36.3 %","null %","null %","null %","35.2 %","36.4 %","37.3 %",441
2407,"Ahmedabad",240712,"Amc","2407120043","Naranpura 2",24071204382,"Ganeshnagar Pipalaj Guj School No 1","42.7 %","67.2 %","53.3 %","42.7 %","35.1 %","37.9 %","45.7 %",240
2407,"Ahmedabad",240712,"Amc","2407120043","Naranpura 2",24071204302,"Shahvadi-2","43.6 %","70.8 %","61.9 %","38.1 %","40.0 %","41.0 %","43.8 %",590
2407,"Ahmedabad",240712,"Amc","2407120043","Naranpura 2",24071204303,"Ranipur-2","47.2 %","70.0 %","66.6 %","46.5 %","39.9 %","49.1 %","43.3 %",176
2407,"Ahmedabad",240712,"Amc","2407120043","Naranpura 2",24071204014,"Chandola Guj Sch 2","54.0 %","72.0 %","63.6 %","35.4 %","null %","null %","null %",344
2407,"Ahmedabad",240712,"Amc","2407120043","Naranpura 2",24071204301,"Narol-2","54.1 %","60.0 %","62.0 %","44.1 %","null %","null %","null %",412
