DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240705,"City","2407050009","Nikol",24070501631,"Vejalpur Primary School 2","43.6 %","65.2 %","58.4 %","42.7 %","40.2 %","37.7 %","44.9 %",246
2407,"Ahmedabad",240705,"City","2407050009","Nikol",24070500655,"Maktampur Primary School","49.0 %","73.6 %","73.7 %","55.3 %","43.8 %","43.5 %","46.8 %",199
2407,"Ahmedabad",240705,"City","2407050009","Nikol",24070501601,"Pay Center School Vejalpur","50.2 %","71.4 %","71.4 %","66.0 %","38.4 %","51.5 %","50.0 %",231
2407,"Ahmedabad",240705,"City","2407050009","Nikol",24070501632,"Veer Shahid Chetan Chhotalal Solanki Pri School","58.5 %","72.6 %","74.0 %","61.2 %","51.9 %","56.6 %","58.7 %",437
