DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120024","Hathijan",24071202438,"Sadarnagar Guj-1","20.4 %","null %","null %","null %","19.9 %","20.6 %","20.9 %",241
2407,"Ahmedabad",240712,"Amc","2407120024","Hathijan",24071202408,"Hansol  Guj Sh No-1","27.0 %","null %","null %","null %","21.0 %","27.5 %","35.9 %",309
2407,"Ahmedabad",240712,"Amc","2407120024","Hathijan",24071202301,"Kubernagar Amb G - 1","27.8 %","null %","null %","null %","24.1 %","27.4 %","30.9 %",240
2407,"Ahmedabad",240712,"Amc","2407120024","Hathijan",24071202320,"Kubernagar Guj 4","30.3 %","48.9 %","46.4 %","30.9 %","23.0 %","26.1 %","31.7 %",286
2407,"Ahmedabad",240712,"Amc","2407120024","Hathijan",24071202309,"Kubernagar English - 1","33.2 %","54.9 %","47.0 %","39.6 %","22.4 %","26.2 %","33.3 %",356
2407,"Ahmedabad",240712,"Amc","2407120024","Hathijan",24071202419,"Sardar Eng No - 1","43.5 %","76.2 %","43.1 %","52.7 %","39.3 %","30.5 %","39.2 %",88
2407,"Ahmedabad",240712,"Amc","2407120024","Hathijan",24071202302,"Kubernagar Amb G - 2","45.6 %","56.2 %","46.5 %","37.1 %","null %","null %","null %",201
2407,"Ahmedabad",240712,"Amc","2407120024","Hathijan",24071202403,"Kotarpur Shala No -2","46.0 %","67.1 %","45.2 %","32.5 %","null %","null %","null %",135
2407,"Ahmedabad",240712,"Amc","2407120024","Hathijan",24071202402,"Hansol  Guj Sh No-2","48.0 %","63.2 %","57.7 %","30.7 %","null %","null %","null %",286
2407,"Ahmedabad",240712,"Amc","2407120024","Hathijan",24071202401,"Sardarnagar Guj Sh No-2","57.5 %","59.1 %","63.5 %","51.3 %","null %","null %","null %",232
2407,"Ahmedabad",240712,"Amc","2407120024","Hathijan",24071202305,"Kubernagar M - 1","62.1 %","79.3 %","76.6 %","74.5 %","53.6 %","62.7 %","60.5 %",76
