DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240705,"City","2407050010","Nirnaynagar",24070501640,"Sanklitnagar Primary School -2","25.3 %","null %","null %","null %","25.4 %","24.9 %","25.7 %",328
2407,"Ahmedabad",240705,"City","2407050010","Nirnaynagar",24070501301,"Saijpur Primary School","39.2 %","62.0 %","55.0 %","32.5 %","37.9 %","30.5 %","41.2 %",261
2407,"Ahmedabad",240705,"City","2407050010","Nirnaynagar",24070500301,"Gyaspur Primary School","43.5 %","71.6 %","63.8 %","46.4 %","27.8 %","33.1 %","51.4 %",397
2407,"Ahmedabad",240705,"City","2407050010","Nirnaynagar",24070500901,"Pipalj Primary School","46.2 %","73.3 %","53.2 %","44.6 %","42.2 %","42.5 %","50.6 %",556
2407,"Ahmedabad",240705,"City","2407050010","Nirnaynagar",24070500302,"Gyaspur Bhatha Primary School","47.4 %","63.5 %","64.4 %","50.4 %","37.8 %","47.0 %","48.9 %",873
2407,"Ahmedabad",240705,"City","2407050010","Nirnaynagar",24070501644,"Sanklitnagar Urdu Pri.Sch-18","47.6 %","67.8 %","57.2 %","58.1 %","47.0 %","39.1 %","42.8 %",165
2407,"Ahmedabad",240705,"City","2407050010","Nirnaynagar",24070501639,"Sanklitnagar Primary School -1","60.6 %","67.3 %","63.9 %","54.0 %","null %","null %","null %",251
