DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120029","Jashodanagar",24071202938,"Rakhiya Hindi Sch No. 1","46.4 %","59.7 %","47.6 %","52.7 %","37.7 %","48.5 %","47.2 %",135
2407,"Ahmedabad",240712,"Amc","2407120029","Jashodanagar",24071200212,"Kalupur H.2","50.6 %","76.6 %","58.4 %","45.1 %","42.7 %","52.4 %","46.3 %",116
2407,"Ahmedabad",240712,"Amc","2407120029","Jashodanagar",24071203016,"Gomtipur H - 1","51.5 %","73.0 %","null %","56.3 %","50.3 %","43.5 %","58.0 %",298
2407,"Ahmedabad",240712,"Amc","2407120029","Jashodanagar",24071202912,"Bapunagar Hindi - 1","51.8 %","58.5 %","67.5 %","62.6 %","44.1 %","51.7 %","49.3 %",239
2407,"Ahmedabad",240712,"Amc","2407120029","Jashodanagar",24071202910,"Saraspur Hindi - 1","54.5 %","null %","null %","null %","51.8 %","50.1 %","61.5 %",154
2407,"Ahmedabad",240712,"Amc","2407120029","Jashodanagar",24071202210,"Saraspur  Hindi - 4","54.7 %","59.2 %","65.1 %","68.5 %","48.5 %","45.1 %","62.3 %",290
2407,"Ahmedabad",240712,"Amc","2407120029","Jashodanagar",24071202817,"Bapunagar Hindi - 4","56.7 %","57.2 %","62.8 %","48.2 %","54.7 %","56.7 %","58.4 %",206
2407,"Ahmedabad",240712,"Amc","2407120029","Jashodanagar",24071202820,"Bapunagar Hindi - 8","65.6 %","68.6 %","75.9 %","67.8 %","54.9 %","69.3 %","67.0 %",214
2407,"Ahmedabad",240712,"Amc","2407120029","Jashodanagar",24071202911,"Saraspur Hindi - 2","76.0 %","71.8 %","76.3 %","78.1 %","null %","null %","null %",134
