DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120035","Khokhara",24071203503,"Odhav Guj Shala No 4","28.4 %","58.7 %","54.9 %","34.1 %","21.1 %","20.8 %","23.7 %",449
2407,"Ahmedabad",240712,"Amc","2407120035","Khokhara",24071203504,"Karsannagar Guj - 1","29.1 %","null %","null %","null %","24.4 %","30.4 %","32.7 %",414
2407,"Ahmedabad",240712,"Amc","2407120035","Khokhara",24071203511,"Odhav Guj. School - 3","30.0 %","44.0 %","49.4 %","35.0 %","23.1 %","25.2 %","32.3 %",383
2407,"Ahmedabad",240712,"Amc","2407120035","Khokhara",24071203506,"G.I.D.C. Guj School No - 2","39.2 %","49.4 %","49.2 %","28.7 %","36.5 %","37.6 %","42.8 %",351
2407,"Ahmedabad",240712,"Amc","2407120035","Khokhara",24071203501,"Odhav Guj Shala No 1","39.2 %","72.6 %","62.2 %","44.7 %","26.9 %","38.0 %","37.8 %",545
2407,"Ahmedabad",240712,"Amc","2407120035","Khokhara",24071203507,"Ambika Guj Sch. No - 1","39.8 %","75.4 %","68.1 %","51.5 %","31.6 %","31.5 %","36.3 %",453
2407,"Ahmedabad",240712,"Amc","2407120035","Khokhara",24071203415,"Purshottam Pri School 1","41.7 %","null %","null %","null %","38.4 %","41.1 %","45.4 %",461
2407,"Ahmedabad",240712,"Amc","2407120035","Khokhara",24071203505,"Karsannagar Guj - 2","54.1 %","62.0 %","64.3 %","36.1 %","null %","null %","null %",327
2407,"Ahmedabad",240712,"Amc","2407120035","Khokhara",24071203402,"Purushottam Nagar Guj - 2","55.4 %","66.0 %","62.4 %","44.0 %","null %","null %","null %",378
