DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120022","Gomtipur Urdu",24071202113,"Amdupura - 1","35.7 %","null %","null %","null %","32.3 %","35.8 %","37.4 %",170
2407,"Ahmedabad",240712,"Amc","2407120022","Gomtipur Urdu",24071202002,"Asarwa - 9","36.2 %","65.5 %","70.1 %","43.5 %","24.6 %","29.0 %","36.2 %",213
2407,"Ahmedabad",240712,"Amc","2407120022","Gomtipur Urdu",24071201907,"Asarwa - 8","39.5 %","63.5 %","52.9 %","42.9 %","37.8 %","29.3 %","42.0 %",167
2407,"Ahmedabad",240712,"Amc","2407120022","Gomtipur Urdu",24071202014,"Naroda Road - 1","40.3 %","69.3 %","58.6 %","50.6 %","39.7 %","37.9 %","34.5 %",276
2407,"Ahmedabad",240712,"Amc","2407120022","Gomtipur Urdu",24071202810,"Bapunagar - 13","44.7 %","64.9 %","68.1 %","48.1 %","33.4 %","44.3 %","45.1 %",321
2407,"Ahmedabad",240712,"Amc","2407120022","Gomtipur Urdu",24071202114,"Amdupura 2","50.9 %","59.4 %","55.0 %","42.7 %","null %","null %","null %",141
