DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120033","Karsannagar",24071203107,"Rajpur -H - 1","34.6 %","62.9 %","63.1 %","47.6 %","28.0 %","31.5 %","28.6 %",105
2407,"Ahmedabad",240712,"Amc","2407120033","Karsannagar",24071203310,"Amraiwadi Hindi - 4","46.7 %","48.0 %","50.1 %","71.5 %","42.9 %","40.3 %","46.8 %",252
2407,"Ahmedabad",240712,"Amc","2407120033","Karsannagar",24071203109,"Rajpur H - 5","52.7 %","63.2 %","46.9 %","71.7 %","41.6 %","48.1 %","58.0 %",170
2407,"Ahmedabad",240712,"Amc","2407120033","Karsannagar",24071203108,"Rajpur H - 2","53.3 %","75.9 %","80.0 %","77.1 %","48.9 %","49.6 %","38.6 %",163
2407,"Ahmedabad",240712,"Amc","2407120033","Karsannagar",24071204105,"Amraiwadi-H.9","55.5 %","63.7 %","64.2 %","56.7 %","48.6 %","59.5 %","54.8 %",171
2407,"Ahmedabad",240712,"Amc","2407120033","Karsannagar",24071203610,"Amraiwadi Hindi - 1","55.5 %","58.8 %","77.5 %","55.3 %","44.9 %","47.7 %","64.9 %",421
2407,"Ahmedabad",240712,"Amc","2407120033","Karsannagar",24071203211,"Amraiwadi Hindi - 7","56.0 %","null %","null %","null %","53.6 %","53.1 %","61.6 %",347
2407,"Ahmedabad",240712,"Amc","2407120033","Karsannagar",24071203302,"Khokhara Hindi - 4","65.0 %","66.0 %","63.9 %","79.7 %","59.9 %","68.1 %","60.8 %",235
2407,"Ahmedabad",240712,"Amc","2407120033","Karsannagar",24071203210,"Amraiwadi Hindi - 5","66.5 %","69.7 %","62.4 %","73.7 %","61.8 %","65.0 %","69.4 %",243
2407,"Ahmedabad",240712,"Amc","2407120033","Karsannagar",24071203212,"Amraiwadi Hindi - 8","70.7 %","65.0 %","65.1 %","78.4 %","null %","null %","null %",318
