DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240705,"City","2407050004","Ghatlodia",24070501728,"Nava Naroda Guj Pri School","49.0 %","59.4 %","62.3 %","51.9 %","44.4 %","46.2 %","50.3 %",177
2407,"Ahmedabad",240705,"City","2407050004","Ghatlodia",24070501740,"Adinath Nagar Pri School","53.0 %","70.7 %","62.5 %","49.6 %","48.6 %","53.1 %","52.5 %",242
2407,"Ahmedabad",240705,"City","2407050004","Ghatlodia",24070501727,"Vidhyanagar Pri School","56.7 %","75.2 %","48.9 %","64.8 %","51.2 %","56.4 %","59.1 %",147
2407,"Ahmedabad",240705,"City","2407050004","Ghatlodia",24070501713,"Nikol Pri.School","57.0 %","76.2 %","65.9 %","57.7 %","54.7 %","49.9 %","60.1 %",574
2407,"Ahmedabad",240705,"City","2407050004","Ghatlodia",24070501729,"Nava Naroda Hindi Pri School","64.8 %","70.9 %","76.3 %","63.7 %","59.6 %","57.9 %","null %",61
2407,"Ahmedabad",240705,"City","2407050004","Ghatlodia",24070501726,"Deep  Ambika Pri School","71.3 %","63.2 %","75.8 %","70.4 %","null %","null %","null %",24
