DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120016","Dariyapur",24071203916,"Baherampura H-1","37.6 %","46.1 %","43.0 %","47.3 %","28.3 %","35.0 %","39.9 %",209
2407,"Ahmedabad",240712,"Amc","2407120016","Dariyapur",24071204393,"Vatva Hindi School No.4","38.7 %","57.3 %","44.8 %","56.1 %","30.7 %","35.2 %","44.2 %",167
2407,"Ahmedabad",240712,"Amc","2407120016","Dariyapur",24071204308,"Vatava H-1","49.9 %","56.5 %","73.2 %","50.5 %","45.2 %","46.0 %","49.9 %",830
2407,"Ahmedabad",240712,"Amc","2407120016","Dariyapur",24071204208,"Vinobabhave H.1","55.8 %","67.1 %","65.5 %","76.9 %","53.6 %","51.0 %","48.3 %",252
2407,"Ahmedabad",240712,"Amc","2407120016","Dariyapur",24071204106,"Bagephirdosh-H.1","61.7 %","78.0 %","71.8 %","69.1 %","50.4 %","56.4 %","68.7 %",418
