DistrictId,DistrictName,BlockId,BlockName,ClusterId,ClusterName,SchoolId,SchoolName,Semester_Performance,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,TotalStudents
2407,"Ahmedabad",240712,"Amc","2407120007","Baherampura Urdu",24071201002,"Elisbridge - 7","21.3 %","null %","null %","null %","19.1 %","23.9 %","20.4 %",300
2407,"Ahmedabad",240712,"Amc","2407120007","Baherampura Urdu",24071200901,"Elisbridge - 17","35.1 %","null %","null %","null %","34.3 %","38.2 %","32.9 %",143
2407,"Ahmedabad",240712,"Amc","2407120007","Baherampura Urdu",24071200904,"Elisbridge - 26","42.7 %","81.7 %","69.9 %","51.2 %","36.0 %","35.1 %","41.3 %",117
2407,"Ahmedabad",240712,"Amc","2407120007","Baherampura Urdu",24071200703,"Elisbridge -12","43.2 %","70.2 %","63.8 %","55.9 %","36.6 %","36.2 %","40.9 %",170
2407,"Ahmedabad",240712,"Amc","2407120007","Baherampura Urdu",24071200708,"Elisbridge - 28","47.2 %","60.1 %","51.3 %","51.2 %","40.3 %","45.9 %","49.4 %",153
2407,"Ahmedabad",240712,"Amc","2407120007","Baherampura Urdu",24071201003,"Elisbridge - 8","53.6 %","58.4 %","56.6 %","45.5 %","null %","null %","null %",293
2407,"Ahmedabad",240712,"Amc","2407120007","Baherampura Urdu",24071200706,"Elisbridge - 22","55.4 %","75.6 %","68.3 %","58.1 %","55.5 %","46.6 %","54.1 %",89
2407,"Ahmedabad",240712,"Amc","2407120007","Baherampura Urdu",24071200902,"Elisbridge - 18","73.8 %","76.5 %","73.0 %","71.8 %","null %","null %","null %",136
