SchoolId,SchoolName,ClusterName,BlockName,DistrictName,Attendance,TotalStudents
24040105401,"Surpura Primary School","Modhera","Becharaji","Mahesana","87.6 %","65"
24040103501,"Khambhel Primary School","Modhera","Becharaji","Mahesana","88.1 %","286"
24040105301,"Suraj Primary School","Modhera","Becharaji","Mahesana","92.8 %","212"
24040105001,"Sampavada Primary School","Modhera","Becharaji","Mahesana","92.7 %","412"
24040105701,"Venpura Primary School","Modhera","Becharaji","Mahesana","93.6 %","83"
24040101301,"Chandroda Primary School","Modhera","Becharaji","Mahesana","94.0 %","305"
24040100201,"Adivada Primary School","Modhera","Becharaji","Mahesana","95.5 %","145"
24040103701,"Mandali Primary School","Modhera","Becharaji","Mahesana","96.0 %","83"
24040100601,"Ambala Primary School","Modhera","Becharaji","Mahesana","96.2 %","208"
