SchoolId,SchoolName,ClusterName,BlockName,DistrictName,Attendance,TotalStudents
24010711901,"Sanosara Group Shala","Butta","Abdasa","Kachchh","90.7 %","79"
24010712102,"Gov.High Secondary School Naredi","Butta","Abdasa","Kachchh","91.8 %","117"
24010712101,"Naredi Primary Shala","Butta","Abdasa","Kachchh","91.2 %","236"
24010712001,"Nandhra Primary Shala","Butta","Abdasa","Kachchh","94.4 %","24"
24010716201,"Hingariya Primary Shala","Butta","Abdasa","Kachchh","95.5 %","52"
24010709701,"Balchod Moti Primary Shala","Butta","Abdasa","Kachchh","98.7 %","52"
24010709601,"Balachod Nani Primary Shala","Butta","Abdasa","Kachchh","98.0 %","51"
